Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Abort","C1103",Boolean,0,R/W,100,,,,,,,,,,"Abort",
"AC_power_alarm","C400",Boolean,0,R/W,100,,,,,,,,,,"AC power alarm",
"Alarm_ack","C1102",Boolean,1,R/W,100,,,,,,,,,,"Alarm Acknowledgement",
"Bypass_enab","C120",Boolean,0,R/W,100,,,,,,,,,,"Bypass valve enable",
"Bypass_vacuum","Y21",Boolean,0,R/W,100,,,,,,,,,,"Open vacuum bypass valve",
"Cap_man_alarm","C406",Boolean,0,R/W,100,,,,,,,,,,"Capacitance manometer alarm",
"Center_htr_D_alrm","C507",Boolean,0,R/W,100,,,,,,,,,,"Center heater heater deviation alarm",
"Center_htr_end","V2160",Float,0,R/W,100,,,,,,,,,,"Center heater ramp endpoint (real)",
"Center_htr_out","V2066",Short,0,R/W,100,,,,,,,,,,"Center heater output",
"Center_htr_P_alrm","C512",Boolean,0,R/W,100,,,,,,,,,,"Center heater power alarm",
"Center_htr_PV","V3043",Word,0,R/W,100,,,,,,,,,,"Center heater PV (x.x)",
"Center_htr_SP","V3042",Word,0,R/W,100,,,,,,,,,,"Center heater SP (x.x)",
"Center_htr_T_alrm","C504",Boolean,0,R/W,100,,,,,,,,,,"Center heater temperature alarm",
"Center_htr_TC_flt","C501",Boolean,0,R/W,100,,,,,,,,,,"Center heater TC fault",
"Cham_press_alarm","C413",Boolean,0,R/W,100,,,,,,,,,,"High chamber pressure alarm",
"Chamber_10_torr","V1404",Word,0,R/W,100,,,,,,,,,,"Chamber 10 torr manometer raw(0-10torr/0-65535)",
"Chamber_1K_torr","V1402",Word,0,R/W,100,,,,,,,,,,"Chamber 1K torr manometer raw(0-1000torr/0-65535)",
"Chamber_closed","C701",Boolean,1,R/W,100,,,,,,,,,,"Chamber lid closed",
"Chamber_full_open","C700",Boolean,1,R/W,100,,,,,,,,,,"Chamber is fully open",
"Chamber_vacuum","Y22",Boolean,0,R/W,100,,,,,,,,,,"Open vacuum valve",
"Cool_down_pres","V2060",Short,0,R/W,100,,,,,,,,,,"Cool down pressure",
"Cool_down_temp","V2057",Short,0,R/W,100,,,,,,,,,,"Cool down Temperature(DegC,  x.x)",
"Cool_fan_enab","C132",Boolean,1,R/W,100,,,,,,,,,,"Cooling fan is enabled",
"Cool_fan_stat","Y32",Boolean,1,R/W,100,,,,,,,,,,"Cooling fan status",
"Cool_move1","V640",Long,1,R/W,100,,,,,,,,,,"Open chamber stage one move to relative position",
"Cool_move2","V642",Long,1,R/W,100,,,,,,,,,,"Open chamber stage two move to relative position",
"Cool_move3","V644",Long,1,R/W,100,,,,,,,,,,"Open chamber stage three move to relative position",
"Cool_move4","V646",Long,1,R/W,100,,,,,,,,,,"Open chamber stage four move to relative position",
"Cool_pump_enab","C133",Boolean,1,R/W,100,,,,,,,,,,"Cooling pump is enabled",
"Cool_pump_stat","Y33",Boolean,1,R/W,100,,,,,,,,,,"Cooling pump status",
"Cool_temp1","V660",Word,1,R/W,100,,,,,,,,,,"Open chamber stage one temperature",
"Cool_temp2","V661",Word,1,R/W,100,,,,,,,,,,"Open chamber stage two temperature",
"Cool_temp3","V662",Word,1,R/W,100,,,,,,,,,,"Open chamber stage three temperature",
"Cool_temp4","V663",Word,1,R/W,100,,,,,,,,,,"Open chamber stage four temperature",
"Cool_temp5","V664",Word,1,R/W,100,,,,,,,,,,"Open chamber final stage  temperature",
"Cycle_MFC_power","C44",Boolean,1,R/W,100,,,,,,,,,,"Cycle the MFC power to resolve com errors",
"Door_open","C3015",Boolean,1,R/W,100,,,,,,,,,,"Door in open position",
"E_stop_alarm","C401",Boolean,0,R/W,100,,,,,,,,,,"Emergency stop alarm",
"Elapsed_run_time","V4",LBCD,0,R/W,100,,,,,,,,,,"In cycle elapsed time BCD (x.x)",
"Enc_N2_purge","Y30",Boolean,0,R/W,100,,,,,,,,,,"Enclosure N2 purge gas",
"Enc_purge_enab","C130",Boolean,0,R/W,100,,,,,,,,,,"Enclosure purge valve enable",
"Encl_door","X10",Boolean,1,R/W,100,,,,,,,,,,"Enclosure door closed",
"Enclosure_temp","V1446",Short,1,R/W,100,,,,,,,,,,"Enclosure temperature",
"Exhaust_alarm","C403",Boolean,0,R/W,100,,,,,,,,,,"Exhaust pressure alarm",
"Exhaust_H2S_level","V1470",Short,1,R/W,100,,,,,,,,,,"Exhaust H2S level",
"Exhaust_NH3_level","V1471",Short,1,R/W,100,,,,,,,,,,"Exhaust NH3 level",
"Exhaust_OK","C307",Boolean,0,R/W,100,,,,,,,,,,"Exhaust pressure OK",
